Day,Place,run,Muslim,Instance
5,Maungdaw,10,1593,myanmar2017_demo
5,Myebon,1,7759,myanmar2017_demo
5,Myebon,2,7679,myanmar2017_demo
5,Myebon,3,7743,myanmar2017_demo
5,Myebon,4,7807,myanmar2017_demo
5,Myebon,5,7624,myanmar2017_demo
5,Myebon,6,7723,myanmar2017_demo
5,Myebon,7,7747,myanmar2017_demo
5,Myebon,8,7638,myanmar2017_demo
5,Myebon,9,7711,myanmar2017_demo
5,Myebon,10,7779,myanmar2017_demo
5,Pauktaw,1,3564,myanmar2017_demo
5,Pauktaw,2,3424,myanmar2017_demo
5,Pauktaw,3,3534,myanmar2017_demo
5,Pauktaw,4,3602,myanmar2017_demo
5,Pauktaw,5,3563,myanmar2017_demo
5,Pauktaw,6,3623,myanmar2017_demo
5,Pauktaw,7,3553,myanmar2017_demo
5,Pauktaw,8,3582,myanmar2017_demo
5,Pauktaw,9,3495,myanmar2017_demo
5,Pauktaw,10,3575,myanmar2017_demo
5,Ramree,1,5519,myanmar2017_demo
5,Ramree,2,5611,myanmar2017_demo
5,Ramree,3,5541,myanmar2017_demo
5,Ramree,4,5514,myanmar2017_demo
5,Ramree,5,5312,myanmar2017_demo
5,Ramree,6,5549,myanmar2017_demo
5,Ramree,7,5379,myanmar2017_demo
5,Ramree,8,5421,myanmar2017_demo
5,Ramree,9,5529,myanmar2017_demo
5,Ramree,10,5501,myanmar2017_demo
5,Rathedaung,1,10062,myanmar2017_demo
5,Rathedaung,2,9873,myanmar2017_demo
5,Rathedaung,3,9903,myanmar2017_demo
5,Rathedaung,4,10157,myanmar2017_demo
5,Rathedaung,5,10038,myanmar2017_demo
5,Rathedaung,6,10191,myanmar2017_demo
5,Rathedaung,7,10130,myanmar2017_demo
5,Rathedaung,8,9872,myanmar2017_demo
5,Rathedaung,9,10385,myanmar2017_demo
5,Rathedaung,10,10048,myanmar2017_demo
5,Sittwe,1,9589,myanmar2017_demo
5,Sittwe,2,9746,myanmar2017_demo
5,Sittwe,3,9848,myanmar2017_demo
5,Sittwe,4,9900,myanmar2017_demo
5,Sittwe,5,9813,myanmar2017_demo
5,Sittwe,6,9708,myanmar2017_demo
5,Sittwe,7,9925,myanmar2017_demo
5,Sittwe,8,9716,myanmar2017_demo
5,Sittwe,9,9827,myanmar2017_demo
5,Sittwe,10,9767,myanmar2017_demo
6,Cox's Bazar,1,81145,myanmar2017_demo
6,Cox's Bazar,2,80477,myanmar2017_demo
6,Cox's Bazar,3,80870,myanmar2017_demo
6,Cox's Bazar,4,81032,myanmar2017_demo
6,Cox's Bazar,5,80892,myanmar2017_demo
6,Cox's Bazar,6,80661,myanmar2017_demo
6,Cox's Bazar,7,80521,myanmar2017_demo
6,Cox's Bazar,8,80946,myanmar2017_demo
6,Cox's Bazar,9,80520,myanmar2017_demo
6,Cox's Bazar,10,80724,myanmar2017_demo
6,Kyaukpyu,1,199,myanmar2017_demo
6,Kyaukpyu,2,215,myanmar2017_demo
6,Kyaukpyu,3,199,myanmar2017_demo
6,Kyaukpyu,4,229,myanmar2017_demo
6,Kyaukpyu,5,215,myanmar2017_demo
6,Kyaukpyu,6,204,myanmar2017_demo
6,Kyaukpyu,7,198,myanmar2017_demo
6,Kyaukpyu,8,207,myanmar2017_demo
6,Kyaukpyu,9,207,myanmar2017_demo
6,Kyaukpyu,10,206,myanmar2017_demo
6,Kyauktaw,1,9419,myanmar2017_demo
6,Kyauktaw,2,9322,myanmar2017_demo
6,Kyauktaw,3,9186,myanmar2017_demo
6,Kyauktaw,4,8968,myanmar2017_demo
6,Kyauktaw,5,9284,myanmar2017_demo
6,Kyauktaw,6,9352,myanmar2017_demo
6,Kyauktaw,7,9342,myanmar2017_demo
