Day,Place,Muslim,run
4,Paletwa,4048,5
4,Pauktaw,3157,5
4,Ramree,3873,5
4,Rathedaung,8890,5
4,Sittwe,10100,5
5,Buthidaung,5615,5
5,Cox's Bazar,79034,5
5,Kyaukpyu,224,5
5,Kyauktaw,8115,5
5,Maungdaw,1613,5
5,Myebon,7624,5
5,Paletwa,4876,5
5,Pauktaw,3563,5
5,Ramree,5312,5
5,Rathedaung,10038,5
5,Sittwe,9813,5
6,Buthidaung,6388,5
6,Cox's Bazar,80892,5
6,Kyaukpyu,215,5
6,Kyauktaw,9284,5
6,Maungdaw,1822,5
6,Myebon,7882,5
6,Paletwa,5404,5
6,Pauktaw,3979,5
6,Ramree,6866,5
6,Rathedaung,11218,5
6,Sittwe,9584,5
7,Buthidaung,7081,5
7,Cox's Bazar,82427,5
7,Kyaukpyu,211,5
7,Kyauktaw,10446,5
7,Maungdaw,2068,5
7,Myebon,8128,5
7,Paletwa,6029,5
7,Pauktaw,4368,5
7,Ramree,8591,5
7,Rathedaung,12522,5
7,Sittwe,9770,5
8,Buthidaung,7488,5
8,Cox's Bazar,84402,5
8,Kyaukpyu,204,5
8,Kyauktaw,11554,5
8,Maungdaw,2314,5
8,Myebon,8373,5
8,Paletwa,6665,5
8,Pauktaw,4791,5
8,Ramree,10507,5
8,Rathedaung,13948,5
8,Sittwe,10039,5
9,Buthidaung,7813,5
9,Cox's Bazar,86452,5
9,Kyaukpyu,194,5
9,Kyauktaw,12666,5
9,Maungdaw,2514,5
9,Myebon,8620,5
9,Paletwa,7272,5
9,Pauktaw,5292,5
9,Ramree,12560,5
9,Rathedaung,15237,5
9,Sittwe,10487,5
10,Buthidaung,8140,5
10,Cox's Bazar,88528,5
10,Kyaukpyu,184,5
10,Kyauktaw,13731,5
10,Maungdaw,2749,5
10,Myebon,9000,5
10,Paletwa,7891,5
10,Pauktaw,5782,5
10,Ramree,14843,5
10,Rathedaung,16543,5
10,Sittwe,10951,5
11,Buthidaung,8421,5
11,Cox's Bazar,90519,5
11,Kyaukpyu,175,5
11,Kyauktaw,14750,5
11,Maungdaw,2983,5
11,Myebon,9315,5
11,Paletwa,8540,5
11,Pauktaw,6220,5
11,Ramree,17272,5
11,Rathedaung,17698,5
11,Sittwe,11648,5
12,Buthidaung,8762,5
12,Cox's Bazar,92589,5
12,Kyaukpyu,168,5
12,Kyauktaw,15744,5
12,Maungdaw,3209,5
12,Myebon,9697,5
