Day,Place,Muslim,run
11,Kyauktaw,14910,4
11,Maungdaw,2936,4
11,Myebon,9347,4
11,Paletwa,8712,4
11,Pauktaw,6211,4
11,Ramree,17766,4
11,Rathedaung,17591,4
11,Sittwe,11536,4
12,Buthidaung,8476,4
12,Cox's Bazar,92618,4
12,Kyaukpyu,137,4
12,Kyauktaw,15975,4
12,Maungdaw,3161,4
12,Myebon,9725,4
12,Paletwa,9337,4
12,Pauktaw,6677,4
12,Ramree,20225,4
12,Rathedaung,18590,4
12,Sittwe,12186,4
13,Buthidaung,9256,4
13,Cox's Bazar,94732,4
13,Kyaukpyu,128,4
13,Kyauktaw,16957,4
13,Maungdaw,3462,4
13,Myebon,10028,4
13,Paletwa,10311,4
13,Pauktaw,7199,4
13,Ramree,22823,4
13,Rathedaung,20161,4
13,Sittwe,12759,4
14,Buthidaung,9855,4
14,Cox's Bazar,96888,4
14,Kyaukpyu,120,4
14,Kyauktaw,17768,4
14,Maungdaw,3826,4
14,Myebon,10339,4
14,Paletwa,11456,4
14,Pauktaw,7833,4
14,Ramree,25423,4
14,Rathedaung,22034,4
14,Sittwe,13625,4
0,Buthidaung,1115,5
0,Cox's Bazar,70441,5
0,Kyaukpyu,289,5
0,Kyauktaw,1017,5
0,Maungdaw,2025,5
0,Myebon,3906,5
0,Paletwa,528,5
0,Pauktaw,2315,5
0,Ramree,157,5
0,Rathedaung,2635,5
0,Sittwe,13462,5
1,Buthidaung,2442,5
1,Cox's Bazar,72258,5
1,Kyaukpyu,278,5
1,Kyauktaw,2647,5
1,Maungdaw,1625,5
1,Myebon,6421,5
1,Paletwa,1526,5
1,Pauktaw,2362,5
1,Ramree,608,5
1,Rathedaung,4632,5
1,Sittwe,12333,5
2,Buthidaung,3226,5
2,Cox's Bazar,73970,5
2,Kyaukpyu,264,5
2,Kyauktaw,4123,5
2,Maungdaw,1419,5
2,Myebon,6851,5
2,Paletwa,2549,5
2,Pauktaw,2513,5
2,Ramree,1517,5
2,Rathedaung,6267,5
2,Sittwe,11417,5
3,Buthidaung,4028,5
3,Cox's Bazar,75746,5
3,Kyaukpyu,258,5
3,Kyauktaw,5497,5
3,Maungdaw,1455,5
3,Myebon,7199,5
3,Paletwa,3347,5
3,Pauktaw,2764,5
3,Ramree,2679,5
3,Rathedaung,7787,5
3,Sittwe,10733,5
4,Buthidaung,4838,5
4,Cox's Bazar,77369,5
4,Kyaukpyu,247,5
4,Kyauktaw,6878,5
4,Maungdaw,1513,5
4,Myebon,7493,5
4,Paletwa,4132,5
4,Pauktaw,3119,5
4,Ramree,4033,5
4,Rathedaung,9034,5
4,Sittwe,10146,5
5,Buthidaung,5497,5
5,Cox's Bazar,79141,5
5,Kyaukpyu,238,5
5,Kyauktaw,8143,5
5,Maungdaw,1627,5
5,Myebon,7677,5
5,Paletwa,5023,5
5,Pauktaw,3570,5
5,Ramree,5520,5
5,Rathedaung,10085,5
5,Sittwe,9890,5
6,Buthidaung,6321,5
6,Cox's Bazar,80855,5
6,Kyaukpyu,227,5
6,Kyauktaw,9289,5
6,Maungdaw,1877,5
6,Myebon,7944,5
6,Paletwa,5508,5
6,Pauktaw,4047,5
6,Ramree,7152,5
6,Rathedaung,11340,5
6,Sittwe,9678,5
7,Buthidaung,6891,5
7,Cox's Bazar,82622,5
7,Kyaukpyu,219,5
7,Kyauktaw,10400,5
7,Maungdaw,2103,5
7,Myebon,8181,5
7,Paletwa,6233,5
7,Pauktaw,4459,5
7,Ramree,8898,5
7,Rathedaung,12713,5
7,Sittwe,9809,5
8,Buthidaung,7263,5
8,Cox's Bazar,84571,5
8,Kyaukpyu,209,5
8,Kyauktaw,11580,5
8,Maungdaw,2370,5
8,Myebon,8379,5
8,Paletwa,6821,5
8,Pauktaw,4916,5
8,Ramree,10902,5
8,Rathedaung,14023,5
8,Sittwe,10107,5
9,Buthidaung,7582,5
9,Cox's Bazar,86514,5
9,Kyaukpyu,197,5
9,Kyauktaw,12721,5
9,Maungdaw,2573,5
9,Myebon,8643,5
9,Paletwa,7382,5
9,Pauktaw,5387,5
9,Ramree,13032,5
9,Rathedaung,15275,5
9,Sittwe,10644,5
10,Buthidaung,7920,5
10,Cox's Bazar,88510,5
10,Kyaukpyu,191,5
10,Kyauktaw,13821,5
10,Maungdaw,2794,5
10,Myebon,9018,5
10,Paletwa,8093,5
10,Pauktaw,5748,5
10,Ramree,15239,5
10,Rathedaung,16470,5
10,Sittwe,11158,5
11,Buthidaung,8205,5
11,Cox's Bazar,90577,5
11,Kyaukpyu,179,5
11,Kyauktaw,14875,5
11,Maungdaw,3019,5
11,Myebon,9364,5
11,Paletwa,8768,5
11,Pauktaw,6264,5
11,Ramree,17775,5
11,Rathedaung,17666,5
11,Sittwe,11610,5
12,Buthidaung,8538,5
12,Cox's Bazar,92652,5
12,Kyaukpyu,174,5
12,Kyauktaw,15954,5
12,Maungdaw,3263,5
12,Myebon,9684,5
12,Paletwa,9448,5
12,Pauktaw,6753,5
12,Ramree,20428,5
12,Rathedaung,18805,5
12,Sittwe,12174,5
13,Buthidaung,9361,5
13,Cox's Bazar,94693,5
13,Kyaukpyu,170,5
13,Kyauktaw,16770,5
13,Maungdaw,3601,5
13,Myebon,10021,5
13,Paletwa,10396,5
13,Pauktaw,7324,5
13,Ramree,23031,5
13,Rathedaung,20308,5
13,Sittwe,12797,5
14,Buthidaung,9877,5
14,Cox's Bazar,96812,5
14,Kyaukpyu,165,5
14,Kyauktaw,17621,5
14,Maungdaw,3960,5
14,Myebon,10384,5
14,Paletwa,11526,5
14,Pauktaw,7903,5
14,Ramree,25727,5
14,Rathedaung,22262,5
14,Sittwe,13609,5
0,Buthidaung,1116,6
0,Cox's Bazar,70349,6
0,Kyaukpyu,281,6
0,Kyauktaw,986,6
0,Maungdaw,1985,6
0,Myebon,3853,6
0,Paletwa,506,6
0,Pauktaw,2423,6
0,Ramree,160,6
0,Rathedaung,2586,6
0,Sittwe,13599,6
1,Buthidaung,2442,6
1,Cox's Bazar,72072,6
1,Kyaukpyu,265,6
1,Kyauktaw,2632,6
1,Maungdaw,1651,6
1,Myebon,6473,6
1,Paletwa,1535,6
1,Pauktaw,2425,6
1,Ramree,590,6
1,Rathedaung,4574,6
1,Sittwe,12430,6
2,Buthidaung,3310,6
2,Cox's Bazar,73806,6
2,Kyaukpyu,253,6
2,Kyauktaw,4227,6
2,Maungdaw,1455,6
2,Myebon,6948,6
2,Paletwa,2485,6
2,Pauktaw,2571,6
2,Ramree,1480,6
2,Rathedaung,6217,6
2,Sittwe,11424,6
3,Buthidaung,4079,6
3,Cox's Bazar,75510,6
3,Kyaukpyu,239,6
3,Kyauktaw,5637,6
3,Maungdaw,1492,6
3,Myebon,7286,6
3,Paletwa,3324,6
3,Pauktaw,2832,6
3,Ramree,2654,6
3,Rathedaung,7698,6
3,Sittwe,10705,6
4,Buthidaung,4909,6
4,Cox's Bazar,77189,6
4,Kyaukpyu,230,6
4,Kyauktaw,6870,6
4,Maungdaw,1524,6
4,Myebon,7606,6
4,Paletwa,4168,6
4,Pauktaw,3249,6
4,Ramree,4052,6
4,Rathedaung,9081,6
4,Sittwe,10200,6
5,Buthidaung,5633,6
5,Cox's Bazar,78876,6
5,Kyaukpyu,217,6
5,Kyauktaw,8087,6
5,Maungdaw,1606,6
5,Myebon,7818,6
5,Paletwa,4949,6
5,Pauktaw,3652,6
5,Ramree,5643,6
5,Rathedaung,10206,6
5,Sittwe,9937,6
6,Buthidaung,6439,6
6,Cox's Bazar,80741,6
6,Kyaukpyu,206,6
6,Kyauktaw,9265,6
6,Maungdaw,1831,6
6,Myebon,8004,6
6,Paletwa,5529,6
6,Pauktaw,4093,6
6,Ramree,7330,6
6,Rathedaung,11523,6
6,Sittwe,9715,6
7,Buthidaung,7050,6
7,Cox's Bazar,82416,6
7,Kyaukpyu,198,6
7,Kyauktaw,10537,6
7,Maungdaw,2068,6
7,Myebon,8233,6
7,Paletwa,6122,6
7,Pauktaw,4500,6
7,Ramree,9164,6
7,Rathedaung,12906,6
7,Sittwe,9779,6
8,Buthidaung,7456,6
8,Cox's Bazar,84356,6
8,Kyaukpyu,191,6
8,Kyauktaw,11725,6
8,Maungdaw,2280,6
8,Myebon,8486,6
8,Paletwa,6721,6
8,Pauktaw,4937,6
8,Ramree,11177,6
8,Rathedaung,14221,6
8,Sittwe,10129,6
9,Buthidaung,7814,6
9,Cox's Bazar,86394,6
9,Kyaukpyu,188,6
9,Kyauktaw,12876,6
9,Maungdaw,2528,6
9,Myebon,8777,6
9,Paletwa,7350,6
9,Pauktaw,5347,6
9,Ramree,13322,6
9,Rathedaung,15488,6
9,Sittwe,10482,6
10,Buthidaung,8054,6
10,Cox's Bazar,88425,6
10,Kyaukpyu,173,6
10,Kyauktaw,13953,6
10,Maungdaw,2740,6
10,Myebon,9117,6
10,Paletwa,7995,6
10,Pauktaw,5790,6
10,Ramree,15702,6
10,Rathedaung,16740,6
10,Sittwe,11018,6
11,Buthidaung,8372,6
11,Cox's Bazar,90459,6
11,Kyaukpyu,167,6
11,Kyauktaw,14906,6
11,Maungdaw,2924,6
11,Myebon,9460,6
11,Paletwa,8713,6
11,Pauktaw,6294,6
11,Ramree,18162,6
11,Rathedaung,17935,6
11,Sittwe,11642,6
12,Buthidaung,8709,6
12,Cox's Bazar,92490,6
12,Kyaukpyu,160,6
12,Kyauktaw,15964,6
12,Maungdaw,3144,6
12,Myebon,9795,6
12,Paletwa,9333,6
12,Pauktaw,6775,6
12,Ramree,20767,6
12,Rathedaung,19090,6
12,Sittwe,12128,6
13,Buthidaung,9488,6
13,Cox's Bazar,94605,6
13,Kyaukpyu,157,6
13,Kyauktaw,16855,6
13,Maungdaw,3456,6
13,Myebon,10164,6
13,Paletwa,10361,6
13,Pauktaw,7247,6
13,Ramree,23386,6
13,Rathedaung,20635,6
13,Sittwe,12727,6
14,Buthidaung,10070,6
14,Cox's Bazar,96725,6
14,Kyaukpyu,151,6
14,Kyauktaw,17751,6
14,Maungdaw,3805,6
14,Myebon,10565,6
14,Paletwa,11460,6
14,Pauktaw,7822,6
14,Ramree,26158,6
14,Rathedaung,22527,6
14,Sittwe,13590,6
0,Buthidaung,1046,7
0,Cox's Bazar,70273,7
0,Kyaukpyu,262,7
0,Kyauktaw,1031,7
0,Maungdaw,2046,7
0,Myebon,3873,7
0,Paletwa,479,7
0,Pauktaw,2382,7
0,Ramree,168,7
0,Rathedaung,2679,7
0,Sittwe,13620,7
1,Buthidaung,2396,7
1,Cox's Bazar,72024,7
1,Kyaukpyu,251,7
1,Kyauktaw,2765,7
1,Maungdaw,1736,7
1,Myebon,6402,7
1,Paletwa,1526,7
1,Pauktaw,2407,7
1,Ramree,587,7
1,Rathedaung,4619,7
